move_time,p_0,p_1,p_2,p_3,p_4,score,hand,seq_id,trial,run
0.217,0.467,0.534,0.584,0.65,0.684,1,left,a,0,0
0.166,0.601,0.65,0.683,0.75,0.767,3,left,a,1,0
0.184,0.45,0.517,0.55,0.617,0.634,1,left,a,2,0
0.267,0.5,0.6,0.651,0.751,0.767,1,right,b,3,0
0.417,0.817,0.967,1.017,1.117,1.234,1,right,b,4,0
0.585,0.467,0.6,0.75,0.9,1.051,0,right,b,5,0
0.249,0.468,0.485,0.534,0.617,0.717,1,left,a,6,1
0.25,0.016,0.134,0.151,0.25,0.266,0,left,a,7,1
0.133,0.467,0.5,0.55,0.584,0.6,3,left,a,8,1
0.35,64.247,64.33,64.364,64.513,64.597,1,right,b,9,1
0.783,1.368,1.784,1.801,2.035,2.151,1,right,b,10,1
0.516,0.334,0.5,0.584,0.784,0.851,1,right,b,11,1
